,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
29,0,80,0.001748502254486084,0.0004335665419236339,0.00024956464767456055,0.0004322586495453649,1,4,sigmoid,0.0001,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.2631578947368421,0.3157894736842105,0.17039473684210527,0.1205276804105694,59,0.1864406779661017,0.23333333333333334,0.31666666666666665,0.38333333333333336,0.27994350282485875,0.07575178871109166
26,0,80,0.0014992952346801758,0.0004993678277589946,0.000499427318572998,0.000499427325686573,1,3,sigmoid,0.0001,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.2631578947368421,0.3157894736842105,0.17039473684210527,0.1205276804105694,59,0.1864406779661017,0.23333333333333334,0.31666666666666665,0.38333333333333336,0.27994350282485875,0.07575178871109166
39,0,80,0.0012491345405578613,0.0004324658161535111,0.0007495880126953125,0.0004327757274982705,100,4,sigmoid,0.01,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05197368421052631,0.00113950711024268,61,0.1864406779661017,0.21666666666666667,0.15,0.15,0.1757768361581921,0.027904239488689076
36,0,80,0.0017485618591308594,0.0008284144558380225,0.0024985671043395996,0.002691203002122183,100,3,sigmoid,0.01,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05197368421052631,0.00113950711024268,61,0.1864406779661017,0.21666666666666667,0.15,0.15,0.1757768361581921,0.027904239488689076
33,0,80,0.0014992356300354004,0.0004997849535501351,0.0002499222755432129,0.00043287807918407335,10,4,sigmoid,0.01,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05197368421052631,0.00113950711024268,61,0.1864406779661017,0.21666666666666667,0.15,0.15,0.1757768361581921,0.027904239488689076
30,0,80,0.003747224807739258,0.00420213608368874,0.0004998445510864258,0.0004998445510864258,10,3,sigmoid,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05197368421052631,0.00113950711024268,61,0.1864406779661017,0.21666666666666667,0.15,0.15,0.1757768361581921,0.027904239488689076
28,0,80,0.0014994144439697266,0.0005000831543759538,0.000999152660369873,2.5981062314156735e-07,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05197368421052631,0.00113950711024268,61,0.1864406779661017,0.21666666666666667,0.15,0.15,0.1757768361581921,0.027904239488689076
27,0,80,0.0029994845390319824,0.0018710117566280743,0.0002493858337402344,0.0004319489347260107,1,4,sigmoid,0.01,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05197368421052631,0.00113950711024268,61,0.1864406779661017,0.21666666666666667,0.15,0.15,0.1757768361581921,0.027904239488689076
25,0,80,0.0012490153312683105,0.00043239631153130475,0.0004999637603759766,0.0004999637887997453,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05197368421052631,0.00113950711024268,61,0.1864406779661017,0.21666666666666667,0.15,0.15,0.1757768361581921,0.027904239488689076
24,0,80,0.0009998679161071777,5.430241572346866e-07,0.0004996061325073242,0.0004996063885043013,1,3,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05197368421052631,0.00113950711024268,61,0.1864406779661017,0.21666666666666667,0.15,0.15,0.1757768361581921,0.027904239488689076
45,0,80,0.0012492537498474121,0.0004328095929530919,0.0007495880126953125,0.0004327749722573388,1000,4,sigmoid,0.01,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05197368421052631,0.00113950711024268,61,0.1864406779661017,0.21666666666666667,0.15,0.15,0.1757768361581921,0.027904239488689076
42,0,80,0.0012482404708862305,0.00043298253183034316,0.0007499456405639648,0.0004329860436470478,1000,3,sigmoid,0.01,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05197368421052631,0.00113950711024268,61,0.1864406779661017,0.21666666666666667,0.15,0.15,0.1757768361581921,0.027904239488689076
